stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
,,abbiategrasso m2,,45.4299949010351,9.17732280788232,
11363,,affori centro m3,,45.5137285074384,9.17383690211541,
16792,,affori fn m3,,45.5203764090156,9.16951597753985,
10900,,amendola m1,,45.473660909418,9.15110745080934,
13774,,assago forum m2,,45.4004066857075,9.14596591871635,
17749,,assago nord m2,,45.4091558237899,9.15001225511428,
10571,,bande nere m1,,45.4619329497227,9.13696166870049,
17152,,bicocca m5,,45.5161905641282,9.20571750046143,
14884,,bignami m5,,45.525694470319,9.21124441442423,
10210,,bisceglie m1,,45.455038987859,9.1125389913326,
10294,,bonola m1,,45.4961605217144,9.11081182811507,
12039,,brenta m3,,45.4439333834125,9.21645176937589,
10908,,buonarroti m1,,45.4709559235388,9.15469043260485,
,,bussero m2,,45.5253016625452,9.37589692165833,
17168,,ca' granda m5,,45.5060066599233,9.20080064988621,
11273,,cadorna m1 m2,,45.4674770167676,9.17671413831676,
12184,,caiazzo m2,,45.4856129233009,9.209306642203,
11536,,cairoli m1,,45.4683140308826,9.18257904344387,
,,cascina antonietta m2,,45.5420794775495,9.42350019149011,
,,cascina burrona m2,,45.5173643568875,9.29783542421091,
13807,,cascina gobba m2,,45.5114237561134,9.26034589446469,
,,cassina de' pecchi m2 m3,,45.521864033703,9.36312160213117,
11322,,cenisio m5,,45.4874027782905,9.17305506951547,
11923,,centrale m2 m3,,45.4869978630769,9.20277672045857,
,,cernusco sul naviglio m2,,45.5210690111993,9.33137771302968,
12772,,cimiano m2,,45.49960285237,9.24212918051774,
13942,,cologno centro m2,,45.5280786244726,9.28281849640212,
15216,,cologno nord m2,,45.5355045348245,9.29200937585957,
17107,,cologno sud m2,,45.5197447059487,9.27397861254615,
17102,,comasina m3,,45.5288383081985,9.1633249670817,
11244,,conciliazione m1,,45.467647022601,9.16554528980617,
11494,,cordusio m1,,45.4658520731172,9.18547106510045,
12346,,corvetto m3,,45.439644476885,9.22329171146042,
15490,,crescenzago m2,,45.5051427922989,9.24660106598416,
11761,,crocetta m3,,45.4559341973187,9.19560001262714,
10590,,de angeli m1,,45.4663389693107,9.14763552850875,
16837,,dergano m3,,45.5047176229583,9.18000789921947,
17550,,domodossola fn m5,,45.4814457851761,9.1618512563932,
11512,,duomo m1 m3,,45.4632121245754,9.18972297119549,
13772,,famagosta m2,,45.436577361065,9.16872743550024,
10576,,gambara m1,,45.4645059532236,9.14176257881805,
,,garibaldi m2 m5,,45.4836397010296,9.18674240788565,
,,gerusalemme m5,,45.4845217522064,9.16677778724863,
,,gessate m2,,45.545287231276,9.43662513013151,
11869,,gioia m2,,45.4851638895193,9.19573478866288,
,,gorgonzola m2,,45.5367410010093,9.40345410780515,
12558,,gorla m1,,45.5066781357509,9.22306037343079,
10239,,inganni m1,,45.4572539840801,9.12262587122405,
,,isola m5,,45.4876083010289,9.19126340788434,
17147,,istria m5,,45.5019856912442,9.19664571737629,
LAMBRATE FS,,lambrate m2,,45.4842475010261,9.23482980786629,
15091,,lampugnano m1,,45.4894626161074,9.12434468424116,
16919,,lanza m2,,45.4723429569661,9.1816190412719,
12181,,lima m1,,45.4803940016484,9.21095067239153,
12032,,lodi m3,,45.4469543491495,9.21112487610565,
12212,,loreto m1 m2,,45.4858889044849,9.21564757421325,
10644,,lotto m1 m5,,45.4796847926396,9.1426514810323,
15598,,maciachini m3,,45.4979597206209,9.18459089993747,
11944,,marche m5,,45.4959167415215,9.19438475984993,
11510,,missori m3,,45.4602031189369,9.18884205885316,
10189,,molino dorino m1,,45.5050953544743,9.09307801896837,
11560,,montenapoleone m3,,45.4693060496454,9.19200492642361,
17615,,monumentale m5,,45.4846034892444,9.18063356467799,
11592,,moscova m2,,45.4777579025958,9.18411700364583,
10920,,pagano m1,,45.4681799580495,9.16101234253297,
11848,,palestro m1,,45.4726350210288,9.20309479277489,
12259,,pasteur m1,,45.4908748376254,9.2179185347647,
16630,,pero m1,,45.5110692808122,9.08559302854951,
12487,,piola m2,,45.4807649882457,9.22537646762842,
12312,,ponale m5,,45.5221754946172,9.20984541266312,
11458,,porta genova m2,,45.452222,9.17,
,,porta romana m3,,45.4514341010313,9.20340020787463,
,,porta venezia m1,,45.475,9.205556,
10936,,portello m5,,45.4814637886048,9.15166136456452,
12964,,porto di mare m3,,45.4378774719723,9.23181663500336,
12563,,precotto m1,,45.5130276627679,9.22465030692211,
16893,,primaticcio m1,,45.4596719816126,9.13066975675946,
10638,,qt8 m1,,45.4858337182545,9.13749754865091,
12988,,repubblica m3,,45.4778729804584,9.19612981798544,
16041,,rho-fiera m1,,45.5217831855284,9.08740093282162,
12597,,rogoredo m3,,45.4343745823733,9.23669656087892,
13200,,romolo m2,,45.4436472876315,9.16732135984004,
12262,,rovereto m1,,45.4952018016096,9.2195944717367,
17770,,s. agostino m2,,45.4600541170154,9.17156322298515,
11221,,s. ambrogio m2,,45.4612211023047,9.17381521767107,
10104,,s. leonardo m1,,45.5002864080939,9.09988693232855,
11809,,san babila m1,,45.4655650842291,9.1982949136666,
15269,,san donato m3,,45.4285937148433,9.255727361952,
17467,,san siro ippodromo m5,,45.4761277821242,9.12841068016522,
17530,,san siro stadio m5,,45.4763367825204,9.11844184495317,
10428,,segesta m5,,45.47509983503,9.13697860662866,
14013,,sesto (1 maggio) m1,,45.5420203310662,9.23895594268866,
15079,,sesto marelli m1,,45.5239245282024,9.22876418317316,
12588,,sesto rondo' m1,,45.5342924103493,9.23159809898884,
11912,,sondrio m3,,45.4899718322099,9.20023975526927,
